name,code,population
Middle East & North Africa (excluding high income),MNA,379901782
Arab World,ARB,414491886
Europe & Central Asia (excluding high income),ECA,415546194
Middle East & North Africa,MEA,444322417
Europe & Central Asia (IDA & IBRD countries),TEC,457647735
Fragile and conflict affected situations,FCS,511336623
European Union,EUU,512461290
IDA blend,IDB,533023458
Latin America & Caribbean (excluding high income),LAC,568136842
Latin America & the Caribbean (IDA & IBRD countries),TLA,628059792
Latin America & Caribbean,LCN,644137666
Low income,LIC,732448558
Heavily indebted poor countries (HIPC),HPC,765112280
Pre-demographic dividend,PRE,904399841
Europe & Central Asia,ECS,915545801
Least developed countries: UN classification,LDC,1002485957
Sub-Saharan Africa (excluding high income),SSA,1061011878
Sub-Saharan Africa,SSF,1061107721
Sub-Saharan Africa (IDA & IBRD countries),TSS,1061107721
IDA only,IDX,1076917211
Post-demographic dividend,PST,1107374909
High income,HIC,1249066228
OECD members,OED,1300865255
India,IND,1339180127
China,CHN,1386395000
IDA total,IDA,1609940669
South Asia,SAS,1788388852
South Asia (IDA & IBRD),TSA,1788388852
East Asia & Pacific (IDA & IBRD countries),TEA,2042783496
East Asia & Pacific (excluding high income),EAP,2068308373
Late-demographic dividend,LTE,2278227192
East Asia & Pacific,EAS,2314364990
Upper middle income,UMC,2576202556
Lower middle income,LMC,2972642807
Early-demographic dividend,EAR,3213426923
IBRD only,IBD,4743263932
Middle income,MIC,5548845363
Low & middle income,LMY,6281293921
IDA & IBRD total,IBT,6353204601
World,WLD,7530360149
Eritrea,ERI,1
Not classified,INX,
