city,lat,lng,country,code,population
Los Angeles,-37.46,-72.36,Chile,CHL,145239
Biarritz,43.4733,-1.5616,France,FRA,145348
Pointe-a-Pitre,16.2415,-61.533,Guadeloupe,GLP,145511
Quchan,37.1118,58.5015,Iran,IRN,145531
Ayutthaya,14.3588,100.5684,Thailand,THA,145615
Fairfield,38.2593,-122.0319,United States,USA,145665
Podgorica,42.466,19.2663,Montenegro,MNE,145850
La Ceiba,15.7631,-86.797,Honduras,HND,145926
Krishnanagar,23.3803,88.53,India,IND,145926
Hanzhong,33.13,107.03,China,CHN,145986
Houma,29.5799,-90.7058,United States,USA,146174
Dawei,14.098,98.195,Burma,MMR,146212
Cabo de Santo Agostinho,-8.29,-35.03,Brazil,BRA,146219
Leesburg,28.7674,-81.8983,United States,USA,146398
Charleston,38.3484,-81.6323,United States,USA,146462
Brugge,51.2204,3.23,Belgium,BEL,146469
Dar'a,32.625,36.105,Syria,SYR,146481
Tabora,-5.02,32.8,Tanzania,TZA,146495
Pocos de Caldas,-21.78,-46.57,Brazil,BRA,146588
Perpignan,42.7,2.9,France,FRA,146620
Matanzas,23.0415,-81.5775,Cuba,CUB,146733
Ibarra,0.3604,-78.13,Ecuador,ECU,146741
Cam Ranh,11.902,109.2207,Vietnam,VNM,146771
Ambala,30.32,76.82,India,IND,146787
Gharyan,32.1704,13.02,Libya,LBY,146810
Willemstad,12.2004,-69.02,Cura�,CUW,146813
Aix-en-Provence,43.52,5.45,France,FRA,146821
Gulu,2.78,32.28,Uganda,UGA,146858
Wamba,2.1404,27.99,Congo (Kinshasa),COD,146871
Man,7.4004,-7.55,C����,CIV,146974
Paterson,40.9147,-74.1624,United States,USA,147000
Naperville,41.7483,-88.1656,United States,USA,147122
Trondheim,63.4167,10.4167,Norway,NOR,147139
Elkhart,41.6919,-85.962,United States,USA,147181
Torrance,33.8346,-118.3417,United States,USA,147195
El Progreso,14.85,-90.0167,Guatemala,GTM,147197
Mangyshlak,43.6905,51.1417,Kazakhstan,KAZ,147443
San Juan del Rio,20.38,-100,Mexico,MEX,147559
Kolomna,55.08,38.785,Russia,RUS,147690
Medea,36.2704,2.77,Algeria,DZA,147707
Panama City,30.1985,-85.6153,United States,USA,147788
Turbat,25.9918,63.0718,Pakistan,PAK,147791
Trang,7.5634,99.608,Thailand,THA,147820
Beaumont,30.0849,-94.1451,United States,USA,147935
Lang Son,21.846,106.757,Vietnam,VNM,148000
Jijel,36.822,5.766,Algeria,DZA,148000
Diourbel,14.6604,-16.24,Senegal,SEN,148024
Yala,6.5505,101.2851,Thailand,THA,148140
Hamilton,-37.7783,175.2896,New Zealand,NZL,148200
Joliet,41.5201,-88.1503,United States,USA,148262
Jiayuguan,39.82,98.3,China,CHN,148279
Palangkaraya,-2.2096,113.91,Indonesia,IDN,148289
Gyumri,40.7894,43.8475,Armenia,ARM,148381
Warner Robins,32.5981,-83.6528,United States,USA,148686
Odessa,31.8831,-102.3407,United States,USA,149088
Gejiu,23.38,103.1501,China,CHN,149105
Perugia,43.1104,12.39,Italy,ITA,149125
